timestamp,status,value
2025-06-08T14:40:52.937089,Dik Durma,174.65
2025-06-08T14:40:52.989983,Dik Durma,173.71
2025-06-08T14:40:53.041658,Dik Durma,173.24
2025-06-08T14:40:53.073473,Dik Durma,173.04
2025-06-08T14:40:53.100379,Dik Durma,172.96
2025-06-08T14:40:53.132089,Dik Durma,172.92
2025-06-08T14:40:53.166919,Dik Durma,172.84
2025-06-08T14:40:53.193170,Dik Durma,172.80
2025-06-08T14:40:53.229876,Dik Durma,172.73
2025-06-08T14:40:53.260397,Dik Durma,172.72
2025-06-08T14:40:53.297884,Dik Durma,172.61
2025-06-08T14:40:53.356105,Dik Durma,172.53
2025-06-08T14:40:53.387824,Dik Durma,172.47
2025-06-08T14:40:53.410656,Dik Durma,172.44
2025-06-08T14:40:53.443200,Dik Durma,172.36
2025-06-08T14:40:53.474613,Dik Durma,172.29
2025-06-08T14:40:53.503639,Dik Durma,172.31
2025-06-08T14:40:53.537216,Dik Durma,172.33
2025-06-08T14:40:53.568986,Dik Durma,172.33
2025-06-08T14:40:53.600638,Dik Durma,172.34
2025-06-08T14:40:53.636498,Dik Durma,172.47
2025-06-08T14:40:53.664784,Dik Durma,172.58
2025-06-08T14:40:53.696250,Dik Durma,172.83
2025-06-08T14:40:53.723459,Dik Durma,172.94
2025-06-08T14:40:53.763078,Dik Durma,173.13
2025-06-08T14:40:53.787291,Dik Durma,173.23
2025-06-08T14:40:53.826105,Dik Durma,173.10
2025-06-08T14:40:53.849090,Dik Durma,172.89
2025-06-08T14:40:53.889310,Dik Durma,172.40
2025-06-08T14:40:53.947519,Dik Durma,172.18
2025-06-08T14:40:53.985590,Dik Durma,172.43
2025-06-08T14:40:54.043323,Dik Durma,172.84
2025-06-08T14:40:54.079846,Dik Durma,173.04
2025-06-08T14:40:54.138990,Dik Durma,173.19
2025-06-08T14:40:54.160590,Dik Durma,173.20
2025-06-08T14:40:54.223525,Dik Durma,173.05
2025-06-08T14:40:54.256147,Dik Durma,173.00
2025-06-08T14:40:54.303277,Dik Durma,172.86
2025-06-08T14:40:54.349576,Dik Durma,172.99
2025-06-08T14:40:56.171668,Omuz hizası bozuk,27.53
2025-06-08T14:40:56.223712,Dik Durma,174.22
2025-06-08T14:40:56.257680,Dik Durma,174.64
2025-06-08T14:40:56.287573,Dik Durma,174.00
2025-06-08T14:40:56.319756,Dik Durma,172.74
2025-06-08T14:40:56.348042,Dik Durma,172.56
2025-06-08T14:40:56.380065,Dik Durma,172.25
2025-06-08T14:40:56.414632,Dik Durma,172.45
2025-06-08T14:40:56.442198,Dik Durma,172.54
2025-06-08T14:40:56.476868,Dik Durma,173.17
2025-06-08T14:40:56.510689,Dik Durma,173.14
2025-06-08T14:40:56.536958,Dik Durma,173.20
2025-06-08T14:40:56.577738,Dik Durma,173.22
2025-06-08T14:40:56.631390,Dik Durma,173.14
2025-06-08T14:40:56.661941,Dik Durma,172.99
2025-06-08T14:40:56.706367,Dik Durma,173.07
2025-06-08T14:40:56.787306,Dik Durma,173.15
2025-06-08T14:40:56.830098,Dik Durma,173.20
2025-06-08T14:40:56.882984,Dik Durma,173.30
2025-06-08T14:40:56.913511,Dik Durma,173.58
2025-06-08T14:40:56.946562,Dik Durma,173.78
2025-06-08T14:40:56.978876,Dik Durma,173.86
2025-06-08T14:40:57.008486,Dik Durma,173.93
2025-06-08T14:40:57.043006,Dik Durma,173.90
2025-06-08T14:40:57.074721,Dik Durma,173.99
2025-06-08T14:40:57.105318,Dik Durma,174.03
2025-06-08T14:40:57.137142,Dik Durma,174.03
2025-06-08T14:40:57.168250,Dik Durma,174.05
2025-06-08T14:40:57.201777,Dik Durma,173.95
2025-06-08T14:40:57.222987,Dik Durma,173.89
2025-06-08T14:40:57.262863,Dik Durma,173.56
2025-06-08T14:40:57.313501,Dik Durma,173.63
2025-06-08T14:40:57.354704,Dik Durma,173.67
2025-06-08T14:40:57.381928,Dik Durma,173.82
2025-06-08T14:40:57.420016,Dik Durma,173.88
2025-06-08T14:40:57.441202,Dik Durma,173.85
2025-06-08T14:40:57.482018,Dik Durma,173.35
2025-06-08T14:40:57.504592,Dik Durma,173.04
2025-06-08T14:40:57.536799,Dik Durma,173.02
2025-06-08T14:40:57.569180,Dik Durma,173.01
2025-06-08T14:40:57.603856,Dik Durma,172.99
2025-06-08T14:40:57.633528,Dik Durma,172.95
2025-06-08T14:40:57.666925,Dik Durma,172.97
2025-06-08T14:40:57.717267,Dik Durma,173.00
2025-06-08T14:40:57.760869,Dik Durma,172.98
2025-06-08T14:40:57.796159,Dik Durma,172.79
2025-06-08T14:40:57.825894,Dik Durma,172.67
2025-06-08T14:40:57.852461,Dik Durma,172.55
2025-06-08T14:40:57.885244,Dik Durma,172.33
2025-06-08T14:40:57.918303,Dik Durma,172.19
2025-06-08T14:40:57.947838,Dik Durma,171.99
2025-06-08T14:40:57.979123,Dik Durma,171.86
2025-06-08T14:40:58.011715,Dik Durma,171.80
2025-06-08T14:40:58.043343,Dik Durma,171.77
2025-06-08T14:40:58.076639,Dik Durma,171.77
2025-06-08T14:40:58.113148,Dik Durma,171.87
2025-06-08T14:40:58.161547,Dik Durma,171.98
2025-06-08T14:40:58.194597,Dik Durma,172.03
2025-06-08T14:40:58.225328,Dik Durma,172.06
2025-06-08T14:40:58.256435,Dik Durma,172.08
2025-06-08T14:40:58.288557,Dik Durma,172.12
2025-06-08T14:40:58.320109,Dik Durma,172.17
2025-06-08T14:40:58.354690,Dik Durma,172.18
2025-06-08T14:40:58.385205,Dik Durma,172.18
2025-06-08T14:40:58.416384,Dik Durma,172.21
2025-06-08T14:40:58.448566,Dik Durma,172.31
2025-06-08T14:40:58.475102,Dik Durma,172.37
2025-06-08T14:40:58.507525,Dik Durma,172.41
2025-06-08T14:40:58.540688,Dik Durma,172.14
2025-06-08T14:40:58.570784,Dik Durma,172.22
2025-06-08T14:40:58.604659,Dik Durma,172.28
2025-06-08T14:40:58.633447,Dik Durma,172.37
2025-06-08T14:40:58.664901,Dik Durma,172.57
2025-06-08T14:40:58.696964,Dik Durma,172.74
2025-06-08T14:40:58.725832,Dik Durma,172.80
2025-06-08T14:40:58.757854,Dik Durma,172.91
2025-06-08T14:40:58.788728,Dik Durma,173.03
2025-06-08T14:40:58.819616,Dik Durma,173.20
2025-06-08T14:40:58.849312,Dik Durma,173.52
2025-06-08T14:40:58.882255,Dik Durma,173.63
2025-06-08T14:40:58.914887,Dik Durma,173.97
2025-06-08T14:40:58.945901,Dik Durma,173.82
2025-06-08T14:40:58.973827,Dik Durma,173.81
2025-06-08T14:40:59.005839,Dik Durma,173.79
2025-06-08T14:40:59.038445,Dik Durma,173.83
2025-06-08T14:40:59.067557,Dik Durma,173.91
2025-06-08T14:40:59.100167,Dik Durma,173.93
2025-06-08T14:40:59.156341,Dik Durma,173.77
2025-06-08T14:40:59.197754,Dik Durma,173.67
2025-06-08T14:40:59.230574,Dik Durma,173.61
2025-06-08T14:40:59.254443,Dik Durma,173.57
2025-06-08T14:40:59.297606,Dik Durma,173.30
2025-06-08T14:40:59.320818,Dik Durma,173.14
2025-06-08T14:40:59.358838,Dik Durma,173.21
2025-06-08T14:40:59.381141,Dik Durma,173.26
2025-06-08T14:40:59.424797,Dik Durma,173.36
2025-06-08T14:40:59.458114,Dik Durma,173.43
2025-06-08T14:40:59.490318,Dik Durma,173.47
2025-06-08T14:40:59.539734,Dik Durma,173.51
2025-06-08T14:40:59.571679,Dik Durma,173.57
2025-06-08T14:40:59.598764,Dik Durma,173.49
2025-06-08T14:40:59.634993,Dik Durma,173.63
2025-06-08T14:40:59.662043,Dik Durma,173.67
2025-06-08T14:40:59.697052,Dik Durma,173.37
2025-06-08T14:40:59.725103,Dik Durma,173.21
2025-06-08T14:40:59.761769,Dik Durma,173.29
2025-06-08T14:40:59.789879,Dik Durma,173.21
2025-06-08T14:40:59.822067,Dik Durma,173.34
2025-06-08T14:40:59.852168,Dik Durma,173.23
2025-06-08T14:40:59.888547,Dik Durma,173.49
2025-06-08T14:40:59.914897,Dik Durma,173.60
2025-06-08T14:40:59.972812,Dik Durma,172.72
2025-06-08T14:41:00.005486,Dik Durma,172.45
2025-06-08T14:41:00.040696,Dik Durma,172.25
2025-06-08T14:41:00.068799,Dik Durma,172.24
2025-06-08T14:41:00.098703,Dik Durma,172.27
2025-06-08T14:41:00.131668,Dik Durma,172.35
2025-06-08T14:41:00.161022,Dik Durma,172.42
2025-06-08T14:41:00.195598,Dik Durma,172.45
2025-06-08T14:41:00.225284,Dik Durma,172.41
2025-06-08T14:41:00.257436,Dik Durma,172.42
2025-06-08T14:41:00.308728,Dik Durma,172.39
2025-06-08T14:41:00.352072,Dik Durma,172.39
2025-06-08T14:41:00.381300,Dik Durma,172.47
2025-06-08T14:41:00.410909,Dik Durma,172.54
2025-06-08T14:41:00.443810,Dik Durma,172.60
2025-06-08T14:41:00.476034,Dik Durma,172.65
2025-06-08T14:41:00.508705,Dik Durma,172.64
2025-06-08T14:41:00.538911,Dik Durma,172.64
2025-06-08T14:41:00.567674,Dik Durma,172.62
2025-06-08T14:41:00.602981,Dik Durma,172.61
2025-06-08T14:41:00.638915,Dik Durma,172.55
2025-06-08T14:41:00.701867,Dik Durma,172.50
2025-06-08T14:41:00.732412,Dik Durma,172.58
2025-06-08T14:41:00.754963,Dik Durma,172.67
2025-06-08T14:41:00.914774,Dik Durma,172.79
2025-06-08T14:41:00.944610,Dik Durma,173.00
2025-06-08T14:41:00.976658,Dik Durma,173.11
2025-06-08T14:41:01.010767,Dik Durma,173.23
2025-06-08T14:41:01.035459,Dik Durma,173.33
2025-06-08T14:41:01.070434,Dik Durma,173.41
2025-06-08T14:41:01.099467,Dik Durma,173.47
2025-06-08T14:41:01.131867,Dik Durma,173.50
2025-06-08T14:41:01.161355,Dik Durma,173.52
2025-06-08T14:41:01.195994,Dik Durma,173.45
2025-06-08T14:41:01.226091,Dik Durma,173.40
2025-06-08T14:41:01.257189,Dik Durma,173.25
2025-06-08T14:41:01.287330,Dik Durma,173.17
2025-06-08T14:41:01.319113,Dik Durma,172.99
2025-06-08T14:41:01.352588,Dik Durma,172.86
2025-06-08T14:41:01.382503,Dik Durma,172.85
2025-06-08T14:41:01.414576,Dik Durma,172.84
2025-06-08T14:41:01.443646,Dik Durma,172.79
2025-06-08T14:41:01.476079,Dik Durma,172.73
2025-06-08T14:41:01.507360,Dik Durma,172.91
2025-06-08T14:41:01.536453,Dik Durma,173.03
2025-06-08T14:41:01.568062,Dik Durma,173.23
2025-06-08T14:41:01.603811,Dik Durma,173.36
2025-06-08T14:41:01.631536,Dik Durma,173.31
2025-06-08T14:41:01.663629,Dik Durma,173.25
2025-06-08T14:41:01.713465,Dik Durma,173.26
2025-06-08T14:41:01.757646,Dik Durma,173.30
2025-06-08T14:41:01.786570,Dik Durma,173.32
2025-06-08T14:41:01.820056,Dik Durma,173.33
2025-06-08T14:41:01.858595,Dik Durma,173.23
2025-06-08T14:41:01.881065,Dik Durma,173.14
2025-06-08T14:41:01.916917,Dik Durma,173.00
2025-06-08T14:41:01.949483,Dik Durma,172.91
2025-06-08T14:41:01.980535,Dik Durma,172.83
2025-06-08T14:41:02.010118,Dik Durma,172.83
2025-06-08T14:41:02.036046,Dik Durma,172.84
2025-06-08T14:41:02.075720,Dik Durma,172.88
2025-06-08T14:41:02.109817,Dik Durma,172.97
2025-06-08T14:41:02.160223,Dik Durma,173.04
2025-06-08T14:41:02.192999,Dik Durma,173.04
2025-06-08T14:41:02.226135,Dik Durma,173.05
2025-06-08T14:41:02.256920,Dik Durma,173.08
2025-06-08T14:41:02.285957,Dik Durma,173.08
2025-06-08T14:41:02.319440,Dik Durma,173.07
2025-06-08T14:41:02.349047,Dik Durma,173.06
2025-06-08T14:41:02.382526,Dik Durma,173.06
2025-06-08T14:41:02.413164,Dik Durma,173.25
2025-06-08T14:41:02.444689,Dik Durma,173.39
2025-06-08T14:41:02.477079,Dik Durma,173.51
2025-06-08T14:41:02.512290,Dik Durma,173.57
2025-06-08T14:41:02.541173,Dik Durma,173.59
2025-06-08T14:41:02.580294,Dik Durma,173.52
2025-06-08T14:41:02.602854,Dik Durma,173.48
2025-06-08T14:41:02.636625,Dik Durma,173.49
2025-06-08T14:41:02.662731,Dik Durma,173.49
2025-06-08T14:41:02.705074,Dik Durma,173.35
2025-06-08T14:41:02.762232,Dik Durma,173.27
2025-06-08T14:41:02.786965,Dik Durma,173.23
2025-06-08T14:41:02.823360,Dik Durma,173.05
2025-06-08T14:41:02.848793,Dik Durma,172.95
2025-06-08T14:41:02.881887,Dik Durma,173.32
2025-06-08T14:41:02.913753,Dik Durma,173.36
2025-06-08T14:41:02.947601,Dik Durma,173.29
2025-06-08T14:41:02.979476,Dik Durma,173.34
2025-06-08T14:41:03.011603,Dik Durma,173.36
2025-06-08T14:41:03.040532,Dik Durma,173.40
2025-06-08T14:41:03.069943,Dik Durma,173.41
2025-06-08T14:41:03.099678,Dik Durma,173.44
2025-06-08T14:41:03.134519,Dik Durma,173.24
2025-06-08T14:41:03.168204,Dik Durma,173.12
2025-06-08T14:41:03.201418,Dik Durma,173.42
2025-06-08T14:41:03.261486,Dik Durma,173.61
2025-06-08T14:41:03.291360,Dik Durma,173.75
2025-06-08T14:41:03.329065,Dik Durma,173.93
2025-06-08T14:41:03.390495,Dik Durma,173.99
2025-06-08T14:41:03.442055,Dik Durma,174.20
2025-06-08T14:41:03.475287,Dik Durma,174.13
2025-06-08T14:41:03.521521,Dik Durma,174.01
2025-06-08T14:41:03.569755,Dik Durma,173.92
2025-06-08T14:41:05.333009,Omuz hizası bozuk,24.81
2025-06-08T14:41:05.381543,Dik Durma,177.16
2025-06-08T14:41:05.423109,Dik Durma,176.76
2025-06-08T14:41:07.204647,Omuz hizası bozuk,25.14
2025-06-08T14:41:07.229006,Dik Durma,171.75
2025-06-08T14:41:07.259750,Dik Durma,170.03
2025-06-08T14:41:09.019836,Arkaya Yaslanma,169.44
2025-06-08T14:41:10.750139,Arkaya Yaslanma,169.51
2025-06-08T14:41:12.523205,Omuz hizası bozuk,31.37
2025-06-08T14:41:14.303772,Omuz hizası bozuk,30.13
2025-06-08T14:41:16.077995,Omuz hizası bozuk,30.79
2025-06-08T14:41:17.832123,Omuz hizası bozuk,29.61
2025-06-08T14:41:19.615583,Omuz hizası bozuk,29.75
2025-06-08T14:41:19.665307,Dik Durma,175.18
2025-06-08T14:41:19.692315,Dik Durma,175.53
2025-06-08T14:41:19.722805,Dik Durma,175.46
2025-06-08T14:41:19.756095,Dik Durma,175.47
2025-06-08T14:41:19.788002,Dik Durma,174.88
2025-06-08T14:41:19.819678,Dik Durma,174.56
2025-06-08T14:41:19.851484,Dik Durma,174.44
2025-06-08T14:41:19.888959,Dik Durma,174.38
2025-06-08T14:41:19.910652,Dik Durma,174.36
2025-06-08T14:41:19.955167,Dik Durma,174.32
2025-06-08T14:41:20.012293,Dik Durma,174.27
2025-06-08T14:41:20.044175,Dik Durma,174.23
2025-06-08T14:41:20.067202,Dik Durma,174.17
2025-06-08T14:41:20.110686,Dik Durma,174.68
2025-06-08T14:41:20.160712,Dik Durma,174.73
2025-06-08T14:41:20.194055,Dik Durma,174.44
2025-06-08T14:41:20.227958,Dik Durma,174.35
2025-06-08T14:41:20.258534,Dik Durma,174.36
2025-06-08T14:41:20.288903,Dik Durma,174.42
2025-06-08T14:41:20.321533,Dik Durma,174.40
2025-06-08T14:41:20.356512,Dik Durma,174.23
2025-06-08T14:41:20.386040,Dik Durma,174.25
2025-06-08T14:41:20.428937,Dik Durma,174.10
2025-06-08T14:41:20.478304,Dik Durma,173.70
2025-06-08T14:41:20.507827,Dik Durma,173.59
2025-06-08T14:41:20.539424,Dik Durma,173.39
2025-06-08T14:41:20.577146,Dik Durma,173.26
2025-06-08T14:41:20.601785,Dik Durma,172.83
2025-06-08T14:41:20.642300,Dik Durma,172.60
2025-06-08T14:41:20.700336,Dik Durma,172.67
2025-06-08T14:41:20.722688,Dik Durma,172.51
2025-06-08T14:41:20.764772,Dik Durma,172.62
2025-06-08T14:41:20.787385,Dik Durma,172.67
2025-06-08T14:41:20.816435,Dik Durma,172.67
2025-06-08T14:41:20.848186,Dik Durma,172.67
2025-06-08T14:41:20.881396,Dik Durma,172.78
2025-06-08T14:41:20.913341,Dik Durma,172.73
2025-06-08T14:41:20.944488,Dik Durma,172.72
2025-06-08T14:41:20.976473,Dik Durma,172.77
2025-06-08T14:41:21.009124,Dik Durma,172.83
2025-06-08T14:41:21.041541,Dik Durma,172.83
2025-06-08T14:41:21.074908,Dik Durma,173.02
2025-06-08T14:41:21.108252,Dik Durma,173.05
2025-06-08T14:41:21.136161,Dik Durma,173.00
2025-06-08T14:41:21.167506,Dik Durma,173.28
2025-06-08T14:41:21.198225,Dik Durma,173.58
2025-06-08T14:41:21.235342,Dik Durma,173.53
2025-06-08T14:41:21.264234,Dik Durma,173.48
2025-06-08T14:41:21.293106,Dik Durma,173.53
2025-06-08T14:41:21.332336,Dik Durma,173.58
2025-06-08T14:41:21.359366,Dik Durma,173.54
2025-06-08T14:41:21.412693,Dik Durma,173.69
2025-06-08T14:41:21.450420,Dik Durma,173.71
2025-06-08T14:41:21.473083,Dik Durma,173.68
2025-06-08T14:41:21.504659,Dik Durma,173.55
2025-06-08T14:41:21.537840,Dik Durma,173.30
2025-06-08T14:41:21.569167,Dik Durma,173.11
2025-06-08T14:41:21.601544,Dik Durma,173.03
2025-06-08T14:41:21.634126,Dik Durma,173.03
2025-06-08T14:41:21.665308,Dik Durma,173.39
2025-06-08T14:41:21.700532,Dik Durma,173.49
2025-06-08T14:41:21.744714,Dik Durma,173.44
2025-06-08T14:41:21.795046,Dik Durma,173.30
2025-06-08T14:41:21.817832,Dik Durma,172.99
2025-06-08T14:41:21.855512,Dik Durma,172.87
2025-06-08T14:41:21.891257,Dik Durma,172.90
2025-06-08T14:41:21.915459,Dik Durma,172.84
2025-06-08T14:41:21.951287,Dik Durma,172.85
2025-06-08T14:41:21.972323,Dik Durma,172.86
2025-06-08T14:41:22.011499,Dik Durma,172.86
2025-06-08T14:41:22.038394,Dik Durma,172.88
2025-06-08T14:41:22.080788,Dik Durma,172.87
2025-06-08T14:41:22.132684,Dik Durma,172.86
2025-06-08T14:41:22.160513,Dik Durma,172.91
2025-06-08T14:41:22.192284,Dik Durma,172.98
2025-06-08T14:41:22.225866,Dik Durma,173.11
2025-06-08T14:41:22.257254,Dik Durma,173.24
2025-06-08T14:41:22.289375,Dik Durma,173.80
2025-06-08T14:41:22.321773,Dik Durma,173.70
2025-06-08T14:41:22.353301,Dik Durma,173.68
2025-06-08T14:41:22.386748,Dik Durma,173.60
2025-06-08T14:41:22.418200,Dik Durma,173.46
2025-06-08T14:41:22.452254,Dik Durma,173.44
2025-06-08T14:41:22.508946,Dik Durma,173.96
2025-06-08T14:41:22.540077,Dik Durma,173.94
2025-06-08T14:41:22.567076,Dik Durma,174.06
2025-06-08T14:41:22.601732,Dik Durma,174.17
2025-06-08T14:41:22.629546,Dik Durma,174.24
2025-06-08T14:41:22.665911,Dik Durma,174.28
2025-06-08T14:41:22.698483,Dik Durma,174.28
2025-06-08T14:41:22.724105,Dik Durma,174.11
2025-06-08T14:41:22.757071,Dik Durma,174.12
2025-06-08T14:41:22.787951,Dik Durma,174.21
2025-06-08T14:41:22.817814,Dik Durma,174.28
2025-06-08T14:41:22.848633,Dik Durma,173.62
2025-06-08T14:41:22.881470,Dik Durma,173.53
2025-06-08T14:41:22.912145,Dik Durma,173.31
2025-06-08T14:41:22.945253,Dik Durma,173.26
2025-06-08T14:41:22.974748,Dik Durma,173.28
2025-06-08T14:41:23.010319,Dik Durma,173.31
2025-06-08T14:41:23.036329,Dik Durma,173.27
2025-06-08T14:41:23.068546,Dik Durma,173.24
2025-06-08T14:41:23.099758,Dik Durma,173.17
2025-06-08T14:41:23.131193,Dik Durma,172.91
2025-06-08T14:41:23.170087,Dik Durma,173.02
2025-06-08T14:41:23.192226,Dik Durma,173.02
2025-06-08T14:41:23.249551,Dik Durma,172.81
2025-06-08T14:41:23.287770,Dik Durma,172.79
2025-06-08T14:41:23.330745,Dik Durma,172.60
2025-06-08T14:41:23.389109,Dik Durma,172.25
2025-06-08T14:41:23.412528,Dik Durma,172.22
2025-06-08T14:41:23.456676,Dik Durma,172.14
2025-06-08T14:41:23.504663,Dik Durma,171.90
2025-06-08T14:41:23.536586,Dik Durma,171.95
2025-06-08T14:41:23.569341,Dik Durma,172.08
2025-06-08T14:41:23.601711,Dik Durma,172.01
2025-06-08T14:41:23.630410,Dik Durma,172.14
2025-06-08T14:41:23.666213,Dik Durma,172.17
2025-06-08T14:41:23.697705,Dik Durma,172.20
2025-06-08T14:41:23.722672,Dik Durma,172.24
2025-06-08T14:41:23.761710,Dik Durma,172.29
2025-06-08T14:41:23.794084,Dik Durma,172.38
2025-06-08T14:41:23.816285,Dik Durma,172.42
2025-06-08T14:41:23.856811,Dik Durma,172.48
2025-06-08T14:41:23.879331,Dik Durma,172.49
2025-06-08T14:41:23.912995,Dik Durma,172.51
2025-06-08T14:41:23.942629,Dik Durma,172.51
2025-06-08T14:41:23.976945,Dik Durma,172.72
2025-06-08T14:41:24.005066,Dik Durma,172.76
2025-06-08T14:41:24.037949,Dik Durma,172.77
2025-06-08T14:41:24.068077,Dik Durma,172.84
2025-06-08T14:41:24.099562,Dik Durma,173.03
2025-06-08T14:41:24.144499,Dik Durma,173.22
2025-06-08T14:41:24.194809,Dik Durma,173.42
2025-06-08T14:41:24.224400,Dik Durma,173.54
2025-06-08T14:41:24.256729,Dik Durma,173.53
2025-06-08T14:41:24.289257,Dik Durma,173.54
2025-06-08T14:41:24.320614,Dik Durma,173.64
2025-06-08T14:41:24.353141,Dik Durma,173.49
2025-06-08T14:41:24.379679,Dik Durma,173.36
2025-06-08T14:41:24.411207,Dik Durma,173.32
2025-06-08T14:41:24.445141,Dik Durma,173.19
2025-06-08T14:41:24.474583,Dik Durma,173.17
2025-06-08T14:41:24.507347,Dik Durma,173.15
2025-06-08T14:41:24.537873,Dik Durma,173.03
2025-06-08T14:41:24.566609,Dik Durma,172.92
2025-06-08T14:41:24.616717,Dik Durma,172.97
2025-06-08T14:41:24.660761,Dik Durma,173.00
2025-06-08T14:41:24.693291,Dik Durma,173.08
2025-06-08T14:41:24.727111,Dik Durma,172.89
2025-06-08T14:41:24.768934,Dik Durma,172.88
2025-06-08T14:41:24.818072,Dik Durma,172.79
2025-06-08T14:41:24.848341,Dik Durma,172.66
2025-06-08T14:41:24.881419,Dik Durma,172.51
2025-06-08T14:41:24.915248,Dik Durma,172.47
2025-06-08T14:41:24.945335,Dik Durma,172.35
2025-06-08T14:41:24.977150,Dik Durma,172.33
2025-06-08T14:41:25.008759,Dik Durma,172.33
2025-06-08T14:41:25.040989,Dik Durma,172.44
2025-06-08T14:41:25.074601,Dik Durma,172.42
2025-06-08T14:41:25.106567,Dik Durma,172.50
2025-06-08T14:41:25.129052,Dik Durma,172.47
2025-06-08T14:41:25.170514,Dik Durma,172.45
2025-06-08T14:41:25.194361,Dik Durma,172.41
2025-06-08T14:41:25.234050,Dik Durma,172.46
2025-06-08T14:41:25.255513,Dik Durma,172.49
2025-06-08T14:41:25.298110,Dik Durma,172.51
2025-06-08T14:41:25.356513,Dik Durma,172.65
2025-06-08T14:41:25.380563,Dik Durma,172.73
2025-06-08T14:41:25.424635,Dik Durma,172.75
2025-06-08T14:41:25.446044,Dik Durma,172.76
2025-06-08T14:41:25.487428,Dik Durma,172.71
2025-06-08T14:41:25.537381,Dik Durma,172.78
2025-06-08T14:41:25.569197,Dik Durma,172.82
2025-06-08T14:41:25.601466,Dik Durma,172.81
2025-06-08T14:41:25.646337,Dik Durma,172.79
2025-06-08T14:41:25.698060,Dik Durma,172.84
2025-06-08T14:41:25.728734,Dik Durma,172.84
2025-06-08T14:41:25.761552,Dik Durma,172.81
2025-06-08T14:41:25.794584,Dik Durma,172.76
2025-06-08T14:41:25.819183,Dik Durma,172.74
2025-06-08T14:41:25.858216,Dik Durma,172.74
2025-06-08T14:41:25.881358,Dik Durma,172.75
2025-06-08T14:41:25.920372,Dik Durma,172.76
2025-06-08T14:41:25.944422,Dik Durma,172.75
2025-06-08T14:41:25.982042,Dik Durma,172.78
2025-06-08T14:41:26.006539,Dik Durma,172.82
2025-06-08T14:41:26.051365,Dik Durma,172.65
2025-06-08T14:41:26.109569,Dik Durma,172.97
2025-06-08T14:41:26.162704,Dik Durma,173.23
2025-06-08T14:41:26.193250,Dik Durma,173.08
2025-06-08T14:41:26.225370,Dik Durma,173.07
2025-06-08T14:41:26.255801,Dik Durma,173.02
2025-06-08T14:41:26.289341,Dik Durma,172.93
2025-06-08T14:41:26.320623,Dik Durma,172.82
2025-06-08T14:41:26.354155,Dik Durma,172.75
2025-06-08T14:41:26.385336,Dik Durma,172.58
2025-06-08T14:41:26.418550,Dik Durma,172.63
2025-06-08T14:41:26.444065,Dik Durma,172.83
2025-06-08T14:41:26.475280,Dik Durma,172.36
2025-06-08T14:41:26.507198,Dik Durma,171.95
2025-06-08T14:41:28.308818,Omuz hizası bozuk,24.16
